,SPI01,SPI03,SPI06,SPI09,SPI12,SPI18,SPI24,SPI36,SPI48,STI01,STI03,STI06,STI09,STI12,STI18,STI24,Water,Urban,Barren,Forest,Shrubland,Grassland,Agriculture,Wetland,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
6001,-2.420995477,-2.63398747040909,-2.620431218,-2.902082841,-3.733803018,-1.816113862,-1.588064109,-1.276313061,-1.008462387,2.618865624,1.421903167,0.154696566,0.378403116,0.437092214,0.047209429,-0.446788838,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.370509248,-1.55482189814699,-1.759915164,-1.792952288,-2.243793559,-1.59218671,-1.143381838,-1.196309978,-0.877158635,0.428642141,1.46570911,0.564101921,0.38906745,0.734039346,0.131910785,-0.365335488,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-0.131220362,-0.700260424457731,-1.753207222,-1.655837121,-1.858502654,-1.553297073,-1.401785174,-1.556726338,-0.868485049,1.192757297,1.993029933,1.124845578,0.609810167,0.905293667,0.458770933,-0.018398516,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.569174999,0.125848348710106,-1.36108068,-1.425898827,-1.559776062,-1.459284013,-1.522753455,-1.392304724,-0.976512958,0.335604682,0.988633838,1.54378775,0.657795171,0.727104042,0.492441602,0.069065381,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-1.254869333,-0.192528579248433,-1.323929528,-1.505348904,-1.519819274,-1.771034035,-1.525255778,-1.48737499,-1.044139295,1.089460309,1.205111431,1.667583496,1.069396566,0.883589797,0.602748756,0.253857068,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-0.527500161,-0.0548907891969465,-0.679400354,-1.594428861,-1.515217945,-2.540198953,-1.526783063,-1.669087621,-1.039993768,0.141946974,0.732805267,1.684039607,1.171559544,0.808645769,0.623268638,0.338619449,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.72735905,-1.60513237134829,-0.069715513,-1.462381289,-1.515587081,-2.529858304,-1.527501488,-1.6698236,-1.040006202,1.002156451,1.061222477,1.188011228,1.567443096,0.929922474,0.893752553,0.548338614,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6001,0.353628414,-0.705935687098782,-0.259198058,-1.347835377,-1.520888483,-1.977590291,-1.52864314,-1.671111566,-1.040137909,0.044791153,0.610064443,1.117116007,1.488191111,1.046286926,1.060306322,0.546626677,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6001,0.981879172,0.857823912593183,0.01821345,-0.645948322,-1.546561454,-1.657826415,-1.474904079,-1.626856153,-1.004112146,0.439011464,0.773986248,0.966674886,1.652893561,1.197988112,1.072749729,0.691880579,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6001,-0.463534737,-0.185731225630498,-1.219940403,-0.213341091,-1.527623908,-1.720779451,-1.597897982,-1.749749247,-1.075802403,1.548639888,1.068226877,1.409932598,1.448131295,1.686155972,1.156848923,0.871011758,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
